Dep Type,Remedy Type/Bmark+loop,470.lbm,179.art,doitgen,blackscholes,gemm,dijkstra-dynsize,052.alvinn,correlation,3mm,2mm,covariance,swaptions,enc-md5
ctrl,smtx-lamp-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
ctrl,comm-libs-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
ctrl,mem-ver-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
ctrl,priv-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
ctrl,loaded-value-pred-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
ctrl,ctrl-spec-remedy,0/102,0/249,0/26,0/28,0/17,184/276,0/91,0/20,0/16,0/16,0/19,6630/7020,0/150
ctrl,counted-iv-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
ctrl,txio-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
ctrl,locality-readonly-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
ctrl,locality-redux-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
ctrl,locality-local-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
ctrl,locality-private-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
ctrl,locality-separated-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
ctrl,locality-subheaps-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
ctrl,locality-aa-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
ctrl,redux-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
ctrl,mem-spec-aa-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
ctrl,smtx-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
ctrl,loop-fission-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
ctrl,ptr-residue-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
ctrl,header-phi-pred-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
ctrl,replicable-stage-remedy,102/102,249/249,26/26,28/28,17/17,92/92,91/91,20/20,16/16,16/16,19/19,390/390,150/150
raw,smtx-lamp-remedy,0/0,0/10,0/0,0/1,0/0,0/56,0/26,0/0,0/0,0/0,0/0,0/873,0/70
raw,comm-libs-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
raw,mem-ver-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
raw,priv-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
raw,loaded-value-pred-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
raw,ctrl-spec-remedy,0/0,11/34,0/0,1/2,0/0,14/23,0/0,0/0,0/0,0/0,0/0,0/0,0/1
raw,counted-iv-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
raw,txio-remedy,0/0,23/23,0/0,1/1,0/0,25/25,0/0,0/0,0/0,0/0,0/0,0/0,0/0
raw,locality-readonly-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
raw,locality-redux-remedy,0/0,0/0,0/0,0/0,0/0,0/0,10/10,0/0,0/0,0/0,0/0,0/0,0/0
raw,locality-local-remedy,0/0,0/0,0/0,0/0,0/0,28/39,0/0,0/0,0/0,0/0,0/0,873/873,0/0
raw,locality-private-remedy,0/0,0/2,0/0,0/0,0/0,0/16,11/11,0/0,0/0,0/0,0/0,0/0,0/0
raw,locality-separated-remedy,0/0,3/3,0/0,0/0,0/0,0/0,6/6,0/0,0/0,0/0,0/0,0/0,0/0
raw,locality-subheaps-remedy,0/0,0/0,0/0,0/0,0/0,0/0,1/1,0/0,0/0,0/0,0/0,0/0,0/0
raw,locality-aa-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
raw,redux-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/1
