Dep Type,Remedy Type/Bmark+loop,covariance,correlation
ctrl,smtx-lamp-remedy,0/0,0/0
ctrl,comm-libs-remedy,0/0,0/0
ctrl,mem-ver-remedy,0/0,0/0
ctrl,priv-remedy,0/0,0/0
ctrl,loaded-value-pred-remedy,0/0,0/0
ctrl,ctrl-spec-remedy,0/0,0/0
ctrl,counted-iv-remedy,0/0,0/0
ctrl,txio-remedy,0/0,0/0
ctrl,locality-readonly-remedy,0/0,0/0
ctrl,locality-redux-remedy,0/0,0/0
ctrl,locality-local-remedy,0/0,0/0
ctrl,locality-private-remedy,0/0,0/0
ctrl,locality-separated-remedy,0/0,0/0
ctrl,locality-subheaps-remedy,0/0,0/0
ctrl,locality-aa-remedy,0/0,0/0
ctrl,redux-remedy,0/0,0/0
ctrl,mem-spec-aa-remedy,0/0,0/0
ctrl,smtx-remedy,0/0,0/0
ctrl,loop-fission-remedy,0/0,0/0
ctrl,ptr-residue-remedy,0/0,0/0
ctrl,header-phi-pred-remedy,0/0,0/0
ctrl,replicable-stage-remedy,19/19,20/20
raw,smtx-lamp-remedy,0/0,0/0
raw,comm-libs-remedy,0/0,0/0
raw,mem-ver-remedy,0/0,0/0
raw,priv-remedy,0/0,0/0
raw,loaded-value-pred-remedy,0/0,0/0
raw,ctrl-spec-remedy,0/0,0/0
raw,counted-iv-remedy,0/0,0/0
raw,txio-remedy,0/0,0/0
raw,locality-readonly-remedy,0/0,0/0
raw,locality-redux-remedy,0/0,0/0
raw,locality-local-remedy,0/0,0/0
raw,locality-private-remedy,0/0,0/0
raw,locality-separated-remedy,0/0,0/0
raw,locality-subheaps-remedy,0/0,0/0
raw,locality-aa-remedy,0/0,0/0
raw,redux-remedy,0/0,0/0
raw,mem-spec-aa-remedy,0/0,0/0
raw,smtx-remedy,0/0,0/0
raw,loop-fission-remedy,0/0,0/0
raw,ptr-residue-remedy,0/0,0/0
raw,header-phi-pred-remedy,0/0,0/0
raw,replicable-stage-remedy,0/0,0/0
waw,smtx-lamp-remedy,0/0,0/0
waw,comm-libs-remedy,0/0,0/0
waw,mem-ver-remedy,0/0,0/0
waw,priv-remedy,1/0,2/0
waw,loaded-value-pred-remedy,0/0,0/0
waw,ctrl-spec-remedy,0/0,0/0
waw,counted-iv-remedy,0/0,0/0
waw,txio-remedy,0/0,0/0
waw,locality-readonly-remedy,0/0,0/0
waw,locality-redux-remedy,0/0,0/0
waw,locality-local-remedy,0/0,0/0
waw,locality-private-remedy,0/0,0/0
waw,locality-separated-remedy,0/0,0/0
waw,locality-subheaps-remedy,0/0,0/0
waw,locality-aa-remedy,0/0,0/0
waw,redux-remedy,0/0,0/0
waw,mem-spec-aa-remedy,0/0,0/0
waw,smtx-remedy,0/0,0/0
waw,loop-fission-remedy,0/0,0/0
waw,ptr-residue-remedy,0/0,0/0
waw,header-phi-pred-remedy,0/0,0/0
waw,replicable-stage-remedy,0/0,0/0
war,smtx-lamp-remedy,0/0,0/0
war,comm-libs-remedy,0/0,0/0
war,mem-ver-remedy,0/0,0/0
war,priv-remedy,0/0,0/0
war,loaded-value-pred-remedy,0/0,0/0
war,ctrl-spec-remedy,0/0,0/0
war,counted-iv-remedy,0/0,0/0
war,txio-remedy,0/0,0/0
war,locality-readonly-remedy,0/0,0/0
war,locality-redux-remedy,0/0,0/0
war,locality-local-remedy,0/0,0/0
war,locality-private-remedy,0/0,0/0
war,locality-separated-remedy,0/0,0/0
war,locality-subheaps-remedy,0/0,0/0
war,locality-aa-remedy,0/0,0/0
war,redux-remedy,0/0,0/0
war,mem-spec-aa-remedy,0/0,0/0
war,smtx-remedy,0/0,0/0
war,loop-fission-remedy,0/0,0/0
war,ptr-residue-remedy,0/0,0/0
war,header-phi-pred-remedy,0/0,0/0
war,replicable-stage-remedy,0/0,0/0
reg,smtx-lamp-remedy,0/0,0/0
reg,comm-libs-remedy,0/0,0/0
reg,mem-ver-remedy,0/0,0/0
reg,priv-remedy,0/0,0/0
reg,loaded-value-pred-remedy,0/0,0/0
reg,ctrl-spec-remedy,0/0,0/0
reg,counted-iv-remedy,0/0,0/0
reg,txio-remedy,0/0,0/0
reg,locality-readonly-remedy,0/0,0/0
reg,locality-redux-remedy,0/0,0/0
reg,locality-local-remedy,0/0,0/0
reg,locality-private-remedy,0/0,0/0
reg,locality-separated-remedy,0/0,0/0
reg,locality-subheaps-remedy,0/0,0/0
reg,locality-aa-remedy,0/0,0/0
reg,redux-remedy,0/0,0/0
reg,mem-spec-aa-remedy,0/0,0/0
reg,smtx-remedy,0/0,0/0
reg,loop-fission-remedy,0/0,0/0
reg,ptr-residue-remedy,0/0,0/0
reg,header-phi-pred-remedy,0/0,0/0
reg,replicable-stage-remedy,1/1,1/1
