Benchmarks,Edge,Loop,LAMP,SLAMP,SpecPriv,Estimated Speedup,Worker Count,Exec Time Coverage,Loop Info,Average Sequential Time,Average Parallel Time,Real Speedup
correlation,y,y,y,y,y,14.67,22,98.00%," X kernel_correlation :: for.cond96(filename:correlation.c, line:100, col:5):speedup = 17.89x;covered (20/20) = 100.00 LC Deps;counts for (1547/1579) = 98.00%
 - kernel_correlation :: for.cond87(filename:correlation.c, line:97, col:3):speedup = 20.46x;covered (30/31) = 96.77 LC Deps;counts for (1547/1579) = 98.00%
 X kernel_correlation :: for.cond103(filename:correlation.c, line:103, col:7):speedup = 8.03x;covered (10/12) = 83.33 LC Deps;counts for (1542/1579) = 97.70%
"
swaptions,y,y,y,y,y,15.90,22,99.80%," X _Z6workerPv :: for.cond36.i.i(filename:HJM_SimPath_Forward_Blocking.cpp, line:116, col:9):speedup = 1.00x;covered (26/28) = 92.86 LC Deps;counts for (27/461) = 5.90%
 X _Z6workerPv :: for.cond10.i172.i(filename:HJM.cpp, line:383, col:2):speedup = 1.65x;covered (6/7) = 85.71 LC Deps;counts for (39/461) = 8.50%
 - _Z6workerPv :: for.cond(filename:HJM_Securities.cpp, line:89, col:3):speedup = 16.43x;covered (9286/9286) = 100.00 LC Deps;counts for (460/461) = 99.80%
 X _Z6workerPv :: for.cond77.i.i(filename:HJM_SimPath_Forward_Blocking.cpp, line:145, col:4):speedup = 3.17x;covered (39/40) = 97.50 LC Deps;counts for (147/461) = 31.90%
 X _Z6workerPv :: for.cond73.i.i(filename:HJM_SimPath_Forward_Blocking.cpp, line:144, col:2):speedup = 4.78x;covered (43/44) = 97.73 LC Deps;counts for (147/461) = 31.90%
 X _Z6workerPv :: for.cond10.i137.i(filename:HJM.cpp, line:383, col:2):speedup = 2.23x;covered (6/7) = 85.71 LC Deps;counts for (61/461) = 13.20%
 X _Z6workerPv :: for.cond1.i.i.i(filename:HJM_SimPath_Forward_Blocking.cpp, line:65, col:5):speedup = 2.69x;covered (23/24) = 95.83 LC Deps;counts for (117/461) = 25.40%
 X _Z6workerPv :: for.cond11.i.i(filename:HJM_SimPath_Forward_Blocking.cpp, line:103, col:4):speedup = 4.22x;covered (26/27) = 96.30 LC Deps;counts for (26/461) = 5.60%
 X _Z6workerPv :: for.cond.i107.i(filename:HJM_SimPath_Forward_Blocking.cpp, line:102, col:2):speedup = 1.15x;covered (30/31) = 96.77 LC Deps;counts for (27/461) = 5.90%
 X _Z6workerPv :: for.cond5.i.i.i(filename:HJM_SimPath_Forward_Blocking.cpp, line:66, col:7):speedup = 2.13x;covered (20/20) = 100.00 LC Deps;counts for (116/461) = 25.20%
"
2mm,y,y,y,y,y,16.26,22,100.00%," - kernel_2mm :: for.cond28(filename:2mm.c, line:83, col:3):speedup = 15.06x;covered (17/18) = 94.44 LC Deps;counts for (104/209) = 49.80%
 - kernel_2mm :: for.cond(filename:2mm.c, line:76, col:3):speedup = 17.64x;covered (16/17) = 94.12 LC Deps;counts for (105/209) = 50.20%
 X kernel_2mm :: for.cond6(filename:2mm.c, line:80, col:7):speedup = 3.23x;covered (9/10) = 90.00 LC Deps;counts for (102/209) = 48.80%
 X kernel_2mm :: for.cond1(filename:2mm.c, line:77, col:5):speedup = 6.26x;covered (12/13) = 92.31 LC Deps;counts for (105/209) = 50.20%
 X kernel_2mm :: for.cond31(filename:2mm.c, line:84, col:5):speedup = 6.08x;covered (13/14) = 92.86 LC Deps;counts for (104/209) = 49.80%
