Dep Type,Remedy Type/Bmark+loop,052.alvinn,3mm,covariance,doitgen,dijkstra-dynsize
ctrl,smtx-lamp-remedy,0/0,0/0,0/0,0/0,0/0
ctrl,comm-libs-remedy,0/0,0/0,0/0,0/0,0/0
ctrl,mem-ver-remedy,0/0,0/0,0/0,0/0,0/0
ctrl,priv-remedy,0/0,0/0,0/0,0/0,0/0
ctrl,loaded-value-pred-remedy,0/0,0/0,0/0,0/0,0/0
ctrl,ctrl-spec-remedy,0/91,0/16,0/19,0/26,184/276
ctrl,counted-iv-remedy,0/0,0/0,0/0,0/0,0/0
ctrl,txio-remedy,0/0,0/0,0/0,0/0,0/0
ctrl,locality-readonly-remedy,0/0,0/0,0/0,0/0,0/0
ctrl,locality-redux-remedy,0/0,0/0,0/0,0/0,0/0
ctrl,locality-local-remedy,0/0,0/0,0/0,0/0,0/0
ctrl,locality-private-remedy,0/0,0/0,0/0,0/0,0/0
ctrl,locality-separated-remedy,0/0,0/0,0/0,0/0,0/0
ctrl,locality-subheaps-remedy,0/0,0/0,0/0,0/0,0/0
ctrl,locality-aa-remedy,0/0,0/0,0/0,0/0,0/0
ctrl,redux-remedy,0/0,0/0,0/0,0/0,0/0
ctrl,mem-spec-aa-remedy,0/0,0/0,0/0,0/0,0/0
ctrl,smtx-remedy,0/0,0/0,0/0,0/0,0/0
ctrl,loop-fission-remedy,0/0,0/0,0/0,0/0,0/0
ctrl,ptr-residue-remedy,0/0,0/0,0/0,0/0,0/0
ctrl,header-phi-pred-remedy,0/0,0/0,0/0,0/0,0/0
ctrl,replicable-stage-remedy,91/91,16/16,19/19,26/26,92/92
raw,smtx-lamp-remedy,0/0,0/0,0/0,0/0,0/16
raw,comm-libs-remedy,0/0,0/0,0/0,0/0,0/0
raw,mem-ver-remedy,0/0,0/0,0/0,0/0,0/0
raw,priv-remedy,0/0,0/0,0/0,0/0,0/0
raw,loaded-value-pred-remedy,0/0,0/0,0/0,0/0,0/0
raw,ctrl-spec-remedy,0/0,0/0,0/0,0/0,1/10
raw,counted-iv-remedy,0/0,0/0,0/0,0/0,0/0
raw,txio-remedy,0/0,0/0,0/0,0/0,25/25
raw,locality-readonly-remedy,0/0,0/0,0/0,0/0,0/0
raw,locality-redux-remedy,1/1,0/0,0/0,0/0,0/0
raw,locality-local-remedy,0/0,0/0,0/0,0/0,1/1
raw,locality-private-remedy,0/0,0/0,0/0,0/0,0/16
raw,locality-separated-remedy,0/0,0/0,0/0,0/0,0/0
raw,locality-subheaps-remedy,0/0,0/0,0/0,0/0,0/0
raw,locality-aa-remedy,0/0,0/0,0/0,0/0,0/0
raw,redux-remedy,0/0,0/0,0/0,0/0,0/0
raw,mem-spec-aa-remedy,0/1,0/0,0/0,0/0,0/27
raw,smtx-remedy,0/0,0/0,0/0,0/0,0/0
